close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
105.93,107.37,104.4,104.78,25204666,105.93,107.37,104.4,104.78,25204666,0.0,1.0
107.51,107.51,105.49,106.7,20493305,107.51,107.51,105.49,106.7,20493305,0.0,1.0
107.32,108.66,105.7699,107.91,24854284,107.32,108.66,105.7699,107.91,24854284,0.0,1.0
109.41,109.42,107.92,108.48,20697553,109.41,109.42,107.92,108.48,20697553,0.0,1.0
109.89,110.33,108.77,109.28,17249365,109.89,110.33,108.77,109.28,17249365,0.0,1.0
110.67,110.83,108.84,109.11,17618460,110.67,110.83,108.84,109.11,17618460,0.0,1.0
112.18,112.5,110.1,110.49,24744778,112.18,112.5,110.1,110.49,24744778,0.0,1.0
111.02,112.69,110.73,112.15,24241247,111.02,112.69,110.73,112.15,24241247,0.0,1.0
111.45,112.42,110.27,111.56,36256877,111.45,112.42,110.27,111.56,36256877,0.0,1.0
111.85,112.37,111.03,111.66,18447974,111.85,112.37,111.03,111.66,18447974,0.0,1.0
112.25,112.88,111.17,111.36,19001076,112.25,112.88,111.17,111.36,19001076,0.0,1.0
112.54,113.19,112.0,112.01,18561974,112.54,113.19,112.0,112.01,18561974,0.0,1.0
113.05,113.09,111.68,112.13,17839119,113.05,113.09,111.68,112.13,17839119,0.0,1.0
113.69,114.5889,112.95,113.32,21351751,113.69,114.5889,112.95,113.32,21351751,0.0,1.0
116.14,116.32,113.64,113.83,29825340,116.14,116.32,113.64,113.83,29825340,0.0,1.0
114.7,116.99,114.355,116.73,33235184,114.7,116.99,114.355,116.73,33235184,0.0,1.0
114.1,115.01,113.7682,114.7,21207526,114.1,115.01,113.7682,114.7,21207526,0.0,1.0
116.06,116.17,113.35,113.75,24760504,116.06,116.17,113.35,113.75,24760504,0.0,1.0
112.55,114.55,111.61,114.07,48487913,112.55,114.55,111.61,114.07,48487913,0.0,1.0
112.22,113.32,111.9,112.11,22962365,112.22,113.32,111.9,112.11,22962365,0.0,1.0
113.71,113.81,112.42,112.47,20814640,113.71,113.81,112.42,112.47,20814640,0.0,1.0
113.64,114.89,113.0663,113.79,20714537,113.64,114.89,113.0663,113.79,20714537,0.0,1.0
110.63,114.33,109.9,114.25,48497808,110.63,114.33,109.9,114.25,48497808,0.0,1.0
108.99,110.91,108.77,110.7,39762304,108.99,110.91,108.77,110.7,39762304,0.0,1.0
110.61,111.1645,108.99,109.34,26248081,110.61,111.1645,108.99,109.34,26248081,0.0,1.0
110.51,112.65,106.52,112.23,88227393,110.51,112.65,106.52,112.23,88227393,0.0,1.0
110.84,112.04,110.26,110.62,28473322,110.84,112.04,110.26,110.62,28473322,0.0,1.0
109.64,110.97,109.2,110.79,20922803,109.64,110.97,109.2,110.79,20922803,0.0,1.0
110.45,110.81,109.2,109.74,21167199,110.45,110.81,109.2,109.74,21167199,0.0,1.0
112.29,112.45,109.16,111.1,30210455,112.29,112.45,109.16,111.1,30210455,0.0,1.0
112.42,113.27,111.56,112.43,21027901,112.42,113.27,111.56,112.43,21027901,0.0,1.0
113.44,114.04,112.31,112.55,20875230,113.44,114.04,112.31,112.55,20875230,0.0,1.0
110.56,111.75,109.01,111.21,38458201,110.56,111.75,109.01,111.21,38458201,0.0,1.0
110.1,110.67,109.07,109.87,21017895,110.1,110.67,109.07,109.87,21017895,0.0,1.0
108.76,110.5,108.15,110.49,22521534,108.76,110.5,108.15,110.49,22521534,0.0,1.0
108.89,108.94,106.31,107.94,52213107,108.89,108.94,106.31,107.94,52213107,0.0,1.0
116.73,120.79,116.23,119.575,87110080,116.73,120.79,116.23,119.575,87110080,0.0,1.0
117.58,117.84,115.84,116.82,37140594,117.58,117.84,115.84,116.82,37140594,0.0,1.0
118.57,118.73,116.57,117.83,28095168,118.57,118.73,116.57,117.83,28095168,0.0,1.0
117.43,118.16,117.02,117.52,24117463,117.43,118.16,117.02,117.52,24117463,0.0,1.0
118.06,118.3,116.57,116.61,23448440,118.06,118.3,116.57,116.61,23448440,0.0,1.0
117.81,118.98,117.25,118.04,22056749,117.81,118.98,117.25,118.04,22056749,0.0,1.0
119.49,119.637,117.1127,117.16,26395568,119.49,119.637,117.1127,117.16,26395568,0.0,1.0
119.24,120.28,118.9,119.54,21138059,119.24,120.28,118.9,119.54,21138059,0.0,1.0
120.5,120.5,114.8,119.62,23220046,120.5,120.5,114.8,119.62,23220046,0.0,1.0
119.52,121.08,119.42,120.41,22038396,119.52,121.08,119.42,120.41,22038396,0.0,1.0
120.28,120.84,118.9,119.98,22035465,120.28,120.84,118.9,119.98,22035465,0.0,1.0
119.81,120.64,119.68,120.38,18124286,119.81,120.64,119.68,120.38,18124286,0.0,1.0
118.67,119.61,117.35,119.38,31247834,118.67,119.61,117.35,119.38,31247834,0.0,1.0
117.35,119.01,117.2,118.82,21328648,117.35,119.01,117.2,118.82,21328648,0.0,1.0
